time,V(vo),I(Rd)
2.00E-03,4.44E+00,2.26E-03
Step Information: X=86  (Run: 86/1000),,
0.00E+00,4.37E+00,2.32E-03
1.96E-03,4.37E+00,2.32E-03
2.00E-03,4.37E+00,2.32E-03
2.00E-03,4.37E+00,2.32E-03
Step Information: X=87  (Run: 87/1000),,
0.00E+00,4.36E+00,2.32E-03
1.96E-03,4.36E+00,2.32E-03
2.00E-03,4.36E+00,2.32E-03
2.00E-03,4.36E+00,2.32E-03
Step Information: X=88  (Run: 88/1000),,
0.00E+00,4.18E+00,2.39E-03
1.96E-03,4.18E+00,2.39E-03
2.00E-03,4.18E+00,2.39E-03
2.00E-03,4.18E+00,2.39E-03
Step Information: X=89  (Run: 89/1000),,
0.00E+00,4.74E+00,2.12E-03
1.96E-03,4.74E+00,2.12E-03
2.00E-03,4.74E+00,2.12E-03
2.00E-03,4.74E+00,2.12E-03
Step Information: X=90  (Run: 90/1000),,
0.00E+00,4.35E+00,2.33E-03
1.96E-03,4.35E+00,2.33E-03
2.00E-03,4.35E+00,2.33E-03
2.00E-03,4.35E+00,2.33E-03
Step Information: X=91  (Run: 91/1000),,
0.00E+00,4.30E+00,2.34E-03
1.96E-03,4.30E+00,2.34E-03
2.00E-03,4.30E+00,2.34E-03
2.00E-03,4.30E+00,2.34E-03
Step Information: X=92  (Run: 92/1000),,
0.00E+00,4.34E+00,2.32E-03
1.96E-03,4.34E+00,2.32E-03
2.00E-03,4.34E+00,2.32E-03
2.00E-03,4.34E+00,2.32E-03
Step Information: X=93  (Run: 93/1000),,
0.00E+00,4.54E+00,2.22E-03
1.96E-03,4.54E+00,2.22E-03
2.00E-03,4.54E+00,2.22E-03
2.00E-03,4.54E+00,2.22E-03
Step Information: X=94  (Run: 94/1000),,
0.00E+00,5.09E+00,1.95E-03
1.96E-03,5.09E+00,1.95E-03
2.00E-03,5.09E+00,1.95E-03
2.00E-03,5.09E+00,1.95E-03
Step Information: X=95  (Run: 95/1000),,
0.00E+00,4.59E+00,2.21E-03
1.96E-03,4.59E+00,2.21E-03
2.00E-03,4.59E+00,2.21E-03
2.00E-03,4.59E+00,2.21E-03
Step Information: X=96  (Run: 96/1000),,
0.00E+00,4.76E+00,2.10E-03
1.96E-03,4.76E+00,2.10E-03
2.00E-03,4.76E+00,2.10E-03
2.00E-03,4.76E+00,2.10E-03
Step Information: X=97  (Run: 97/1000),,
0.00E+00,4.28E+00,2.37E-03
1.96E-03,4.28E+00,2.37E-03
2.00E-03,4.28E+00,2.37E-03
2.00E-03,4.28E+00,2.37E-03
Step Information: X=98  (Run: 98/1000),,
0.00E+00,4.20E+00,2.40E-03
1.96E-03,4.20E+00,2.40E-03
2.00E-03,4.20E+00,2.40E-03
2.00E-03,4.20E+00,2.40E-03
Step Information: X=99  (Run: 99/1000),,
0.00E+00,5.51E+00,1.74E-03
1.96E-03,5.51E+00,1.74E-03
2.00E-03,5.51E+00,1.74E-03
2.00E-03,5.51E+00,1.74E-03
Step Information: X=100  (Run: 100/1000),,
0.00E+00,4.23E+00,2.37E-03
1.96E-03,4.23E+00,2.37E-03
2.00E-03,4.23E+00,2.37E-03
2.00E-03,4.23E+00,2.37E-03
Step Information: X=101  (Run: 101/1000),,
0.00E+00,4.89E+00,2.07E-03
1.96E-03,4.89E+00,2.07E-03
2.00E-03,4.89E+00,2.07E-03
2.00E-03,4.89E+00,2.07E-03
Step Information: X=102  (Run: 102/1000),,
0.00E+00,4.34E+00,2.33E-03
1.96E-03,4.34E+00,2.33E-03
2.00E-03,4.34E+00,2.33E-03
2.00E-03,4.34E+00,2.33E-03
Step Information: X=103  (Run: 103/1000),,
0.00E+00,4.28E+00,2.35E-03
1.96E-03,4.28E+00,2.35E-03
2.00E-03,4.28E+00,2.35E-03
2.00E-03,4.28E+00,2.35E-03
Step Information: X=104  (Run: 104/1000),,
0.00E+00,4.49E+00,2.25E-03
1.96E-03,4.49E+00,2.25E-03
2.00E-03,4.49E+00,2.25E-03
2.00E-03,4.49E+00,2.25E-03
Step Information: X=105  (Run: 105/1000),,
0.00E+00,4.67E+00,2.15E-03
1.96E-03,4.67E+00,2.15E-03
2.00E-03,4.67E+00,2.15E-03
2.00E-03,4.67E+00,2.15E-03
Step Information: X=106  (Run: 106/1000),,
0.00E+00,4.86E+00,2.07E-03
1.96E-03,4.86E+00,2.07E-03
2.00E-03,4.86E+00,2.07E-03
2.00E-03,4.86E+00,2.07E-03
Step Information: X=107  (Run: 107/1000),,
0.00E+00,4.77E+00,2.13E-03
1.96E-03,4.77E+00,2.13E-03
2.00E-03,4.77E+00,2.13E-03
2.00E-03,4.77E+00,2.13E-03
Step Information: X=108  (Run: 108/1000),,
0.00E+00,4.48E+00,2.28E-03
1.96E-03,4.48E+00,2.28E-03
2.00E-03,4.48E+00,2.28E-03
2.00E-03,4.48E+00,2.28E-03
Step Information: X=109  (Run: 109/1000),,
0.00E+00,4.53E+00,2.24E-03
1.96E-03,4.53E+00,2.24E-03
2.00E-03,4.53E+00,2.24E-03
2.00E-03,4.53E+00,2.24E-03
Step Information: X=110  (Run: 110/1000),,
0.00E+00,4.34E+00,2.34E-03
1.96E-03,4.34E+00,2.34E-03
2.00E-03,4.34E+00,2.34E-03
2.00E-03,4.34E+00,2.34E-03
Step Information: X=111  (Run: 111/1000),,
0.00E+00,4.51E+00,2.26E-03
1.96E-03,4.51E+00,2.26E-03
2.00E-03,4.51E+00,2.26E-03
2.00E-03,4.51E+00,2.26E-03
Step Information: X=112  (Run: 112/1000),,
0.00E+00,4.50E+00,2.24E-03
1.96E-03,4.50E+00,2.24E-03
2.00E-03,4.50E+00,2.24E-03
2.00E-03,4.50E+00,2.24E-03
Step Information: X=113  (Run: 113/1000),,
0.00E+00,4.57E+00,2.20E-03
1.96E-03,4.57E+00,2.20E-03
2.00E-03,4.57E+00,2.20E-03
2.00E-03,4.57E+00,2.20E-03
Step Information: X=114  (Run: 114/1000),,
0.00E+00,4.55E+00,2.23E-03
1.96E-03,4.55E+00,2.23E-03
2.00E-03,4.55E+00,2.23E-03
2.00E-03,4.55E+00,2.23E-03
Step Information: X=115  (Run: 115/1000),,
0.00E+00,4.43E+00,2.29E-03
1.96E-03,4.43E+00,2.29E-03
2.00E-03,4.43E+00,2.29E-03
2.00E-03,4.43E+00,2.29E-03
Step Information: X=116  (Run: 116/1000),,
0.00E+00,4.38E+00,2.33E-03
1.96E-03,4.38E+00,2.33E-03
2.00E-03,4.38E+00,2.33E-03
2.00E-03,4.38E+00,2.33E-03
Step Information: X=117  (Run: 117/1000),,
0.00E+00,4.88E+00,2.07E-03
1.96E-03,4.88E+00,2.07E-03
2.00E-03,4.88E+00,2.07E-03
2.00E-03,4.88E+00,2.07E-03
Step Information: X=118  (Run: 118/1000),,
0.00E+00,5.06E+00,1.97E-03
1.96E-03,5.06E+00,1.97E-03
2.00E-03,5.06E+00,1.97E-03
2.00E-03,5.06E+00,1.97E-03
Step Information: X=119  (Run: 119/1000),,
0.00E+00,4.69E+00,2.18E-03
1.96E-03,4.69E+00,2.18E-03
2.00E-03,4.69E+00,2.18E-03
2.00E-03,4.69E+00,2.18E-03
Step Information: X=120  (Run: 120/1000),,
0.00E+00,4.33E+00,2.32E-03
1.96E-03,4.33E+00,2.32E-03
2.00E-03,4.33E+00,2.32E-03
2.00E-03,4.33E+00,2.32E-03
Step Information: X=121  (Run: 121/1000),,
0.00E+00,4.35E+00,2.31E-03
1.96E-03,4.35E+00,2.31E-03
2.00E-03,4.35E+00,2.31E-03
2.00E-03,4.35E+00,2.31E-03
Step Information: X=122  (Run: 122/1000),,
0.00E+00,4.21E+00,2.39E-03
1.96E-03,4.21E+00,2.39E-03
2.00E-03,4.21E+00,2.39E-03
2.00E-03,4.21E+00,2.39E-03
Step Information: X=123  (Run: 123/1000),,
0.00E+00,4.46E+00,2.27E-03
1.96E-03,4.46E+00,2.27E-03
2.00E-03,4.46E+00,2.27E-03
2.00E-03,4.46E+00,2.27E-03
Step Information: X=124  (Run: 124/1000),,
0.00E+00,4.31E+00,2.34E-03
1.96E-03,4.31E+00,2.34E-03
2.00E-03,4.31E+00,2.34E-03
2.00E-03,4.31E+00,2.34E-03
Step Information: X=125  (Run: 125/1000),,
0.00E+00,4.78E+00,2.12E-03
1.96E-03,4.78E+00,2.12E-03
2.00E-03,4.78E+00,2.12E-03
2.00E-03,4.78E+00,2.12E-03
Step Information: X=126  (Run: 126/1000),,
0.00E+00,4.58E+00,2.22E-03
1.96E-03,4.58E+00,2.22E-03
2.00E-03,4.58E+00,2.22E-03
2.00E-03,4.58E+00,2.22E-03
Step Information: X=127  (Run: 127/1000),,
0.00E+00,4.38E+00,2.30E-03
1.96E-03,4.38E+00,2.30E-03
2.00E-03,4.38E+00,2.30E-03
2.00E-03,4.38E+00,2.30E-03
Step Information: X=128  (Run: 128/1000),,
0.00E+00,4.35E+00,2.31E-03
1.96E-03,4.35E+00,2.31E-03
2.00E-03,4.35E+00,2.31E-03
2.00E-03,4.35E+00,2.31E-03
Step Information: X=129  (Run: 129/1000),,
0.00E+00,5.26E+00,1.86E-03
1.96E-03,5.26E+00,1.86E-03
2.00E-03,5.26E+00,1.86E-03
2.00E-03,5.26E+00,1.86E-03
Step Information: X=130  (Run: 130/1000),,
0.00E+00,4.54E+00,2.23E-03
1.96E-03,4.54E+00,2.23E-03
2.00E-03,4.54E+00,2.23E-03
2.00E-03,4.54E+00,2.23E-03
Step Information: X=131  (Run: 131/1000),,
0.00E+00,4.51E+00,2.23E-03
1.96E-03,4.51E+00,2.23E-03
2.00E-03,4.51E+00,2.23E-03
2.00E-03,4.51E+00,2.23E-03
Step Information: X=132  (Run: 132/1000),,
0.00E+00,5.07E+00,1.95E-03
1.96E-03,5.07E+00,1.95E-03
2.00E-03,5.07E+00,1.95E-03
2.00E-03,5.07E+00,1.95E-03
Step Information: X=133  (Run: 133/1000),,
0.00E+00,4.43E+00,2.27E-03
